physician.cardiology.heartFailureTransplantation,heartFailureTransplantation,Heart Failure & Transplantation,aa384a10-dcb0-429d-94e9-56391eb8d205,9,FALSE
physician.cardiology.interventionalCardiology,interventionalCardiology,Interventional Cardiology,d3bb8829-5597-414d-b7a4-3bfa87e8277d,10,FALSE
physician.cardiology.nonInvasiveCardiology,nonInvasiveCardiology,Non-Invasive Cardiology,8e709172-be37-498c-9c10-f0234f948c64,11,FALSE
physician.cardiology.nuclearCardiology,nuclearCardiology,Nuclear Cardiology,85f8e4ad-987c-432c-a49e-c6e5e8d4fc19,12,FALSE
physician.cardiology.peripheralEndovascularInterventionalCardiology,peripheralEndovascularInterventionalCardiology,Peripheral Endovascular Interventional Cardiology,4294cc91-83c4-4bb7-a85b-79ef1ea20ea1,13,FALSE
physician.cardiology.preventiveCardiology,preventiveCardiology,Preventive Cardiology,12df5ee3-02c8-4f6b-b470-983a2804b1e1,14,FALSE
physician.cardiology.vascularMedicine,vascularMedicine,Vascular Medicine,f98a25bf-3ecb-4068-a3ee-5653641183a1,15,FALSE
physician.cardiothoracicSurgery,cardiothoracicSurgery,Cardiothoracic Surgery,39fa1cb0-69ff-4174-ab18-5c85c60dead8,55,FALSE
physician.cardiothoracicSurgery.adultCardiacSurgery,adultCardiacSurgery,Adult Cardiac Surgery,346895b3-e406-4c39-a7ca-7c835fbd758e,1,FALSE
physician.cardiothoracicSurgery.adultGeneralThoracic,adultGeneralThoracic,Adult General Thoracic,9aa5c540-e9e8-4387-868d-6d63dfa8e060,2,FALSE
physician.cardiothoracicSurgery.cardiopulmonaryTransplantation,cardiopulmonaryTransplantation,Cardiopulmonary Transplantation,6e1bd395-567e-4758-8f86-f0af1d370666,4,FALSE
physician.cardiothoracicSurgery.cardiothoracicSurgery,cardiothoracicSurgery,Cardiothoracic Surgery,82c3a44e-9270-4c46-b76f-e22572863c46,3,FALSE
physician.cardiothoracicSurgery.cardiovascularSurgery,cardiovascularSurgery,Cardiovascular Surgery,9ec2f977-78d5-4da9-92cb-1ea6af0274dd,5,FALSE
physician.cardiothoracicSurgery.generalThoracicSurgery,generalThoracicSurgery,General Thoracic Surgery,914f3869-b45a-40b0-a1e0-4ae115250b64,0,FALSE
physician.cardiothoracicSurgery.pediatricCardiacSurgery,pediatricCardiacSurgery,Pediatric Cardiac Surgery,3784726c-7604-4c1c-be54-801f18fb257a,7,FALSE
physician.cardiothoracicSurgery.pediatricThoracicSurgery,pediatricThoracicSurgery,Pediatric Thoracic Surgery,3eb2e1c6-d4e3-4743-a505-a6bd70068f75,6,FALSE
physician.cardiothoracicSurgery.roboticSurgery,roboticSurgery,Robotic Surgery,e6d84db4-1e97-4e26-9868-97e5ec11605c,11,FALSE
